Code;Description;
1000000000;CAPITAL SOCIAL;
1030000001;SANTIAGO GRIÑAN EGEA;
1030000002;SOLID MACHINE VISION, S.L.;

1130000000;RESERVAS VOLUNTARIAS;

1210000000;RESULTADOS NEGATIVOS EJERCICIOS ANTERIORES;
1290000000;RESULTADO DEL EJERCICIO;
