4100000090;ART Suministros de Oficina S.L.;
Fecha;Concepto;Referencia;Debe;Haber;Saldo;
22/03/2026;FACTURA ART Suministros de Oficina S.L.;26R02002911;0.00;15.97;-15.97;
23/03/2026;PAGO ART Suministros de Oficina S.L.;ES0182140000067606844903;15.97;0.00;0.00;
;;Sumas;15.97;15.97;
