4750000000;HACIENDA PUBLICA ACREEDORA POR IVA;
Fecha;Concepto;Referencia;Debe;Haber;Saldo;
01/01/0001;APERTURA;;0.00;4814.02;-4814.02;
30/01/2026;PAGO HACIENDA PUBLICA ACREEDORA POR IVA;ES0182140000066562533807;4814.02;0.00;0.00;
31/03/2026;IVA TRIMESTRE 1 ;;331.21;0.00;331.21;
31/03/2026;IVA TRIMESTRE 1 ;;0.00;2842.35;-2511.14;
20/04/2026;PAGO HACIENDA PUBLICA ACREEDORA POR IVA;ES0182140000068168255290;2511.14;0.00;0.00;
;;Sumas;7656.37;7656.37;
