4100000044;CT Global (UK) LTD;
Fecha;Concepto;Referencia;Debe;Haber;Saldo;
22/03/2026;FACTURA CT Global (UK) LTD;PL6003CZ005H7I;0.00;28.31;-28.31;
23/03/2026;PAGO CT Global (UK) LTD;ES0182140000067606844904;28.31;0.00;0.00;
;;Sumas;28.31;28.31;
