4100000091;GARVI&PORTILLO2017 S.L.;
Fecha;Concepto;Referencia;Debe;Haber;Saldo;
31/03/2026;FACTURA GARVI&PORTILLO2017 S.L.;000085;0.00;50.82;-50.82;
;;Sumas;0.00;50.82;
