4000000002;PC COMPONENTES Y MULTIMEDIA SLU;
Fecha;Concepto;Referencia;Debe;Haber;Saldo;
23/03/2026;PAGO PC COMPONENTES Y MULTIMEDIA SLU;ES0182140000067606844903;56.85;0.00;56.85;
23/03/2026;FACTURA PC Componentes y Multimedia SLU;12026121073;0.00;56.85;0.00;
;;Sumas;56.85;56.85;
